date,region,regular,mid_grade,premium,diesel,mom_change,yoy_change,source_url,fetched_at
2026-04-21,State,5.651,5.913,6.164,7.186,0.484,1.144,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Hawaii,5.665,5.906,6.22,7.164,0.335,1.003,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Maui,5.606,5.903,6.142,7.778,0.303,1.084,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Honolulu,5.628,5.908,6.17,6.936,0.586,1.199,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Kauai,5.965,6.226,6.459,7.299,0.477,0.864,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,State,5.651,5.913,6.164,7.186,0.484,1.144,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Hawaii,5.665,5.906,6.22,7.164,0.335,1.003,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Maui,5.606,5.903,6.142,7.778,0.303,1.084,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Honolulu,5.628,5.908,6.17,6.936,0.586,1.199,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Kauai,5.965,6.226,6.459,7.299,0.477,0.864,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-22,State,5.658,5.883,6.149,7.177,0.452,1.146,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Hawaii,5.655,5.887,6.21,7.012,0.275,1.004,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Maui,5.677,5.847,6.093,7.786,0.313,1.141,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Honolulu,5.622,5.887,6.158,6.951,0.558,1.188,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Kauai,5.971,6.232,6.399,7.359,0.425,0.87,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,State,5.658,5.883,6.149,7.177,0.452,1.146,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Hawaii,5.655,5.887,6.21,7.012,0.275,1.004,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Maui,5.677,5.847,6.093,7.786,0.313,1.141,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Honolulu,5.622,5.887,6.158,6.951,0.558,1.188,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Kauai,5.971,6.232,6.399,7.359,0.425,0.87,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
